,cell1,cell2
2157,tar_cell_1767,tar_cell_1767
2158,tar_cell_1767,tar_cell_1719
2159,tar_cell_1768,tar_cell_1768
2160,tar_cell_1769,tar_cell_1769
2161,tar_cell_1770,tar_cell_1770
2162,tar_cell_1771,tar_cell_1771
2163,tar_cell_1771,tar_cell_1971
2164,tar_cell_1772,tar_cell_1772
2165,tar_cell_1773,tar_cell_1773
2166,tar_cell_1774,tar_cell_1774
2167,tar_cell_1775,tar_cell_1775
2168,tar_cell_1776,tar_cell_1776
2169,tar_cell_1776,tar_cell_1216
2170,tar_cell_1777,tar_cell_1777
2171,tar_cell_1778,tar_cell_1778
2172,tar_cell_1779,tar_cell_1779
2173,tar_cell_1780,tar_cell_1780
2174,tar_cell_1781,tar_cell_1781
2175,tar_cell_1781,tar_cell_1537
2176,tar_cell_1782,tar_cell_1782
2177,tar_cell_1783,tar_cell_1783
2178,tar_cell_1784,tar_cell_1784
2179,tar_cell_1784,tar_cell_1896
2180,tar_cell_1785,tar_cell_1785
2181,tar_cell_1786,tar_cell_1786
2182,tar_cell_1786,tar_cell_1634
2183,tar_cell_1787,tar_cell_1787
2184,tar_cell_1788,tar_cell_1788
2185,tar_cell_1789,tar_cell_1789
2186,tar_cell_1790,tar_cell_1790
2187,tar_cell_1790,tar_cell_1787
2188,tar_cell_1791,tar_cell_1791
2189,tar_cell_1792,tar_cell_1792
2190,tar_cell_1793,tar_cell_1793
2191,tar_cell_1794,tar_cell_1794
2192,tar_cell_1794,tar_cell_1701
2193,tar_cell_1795,tar_cell_1795
2194,tar_cell_1796,tar_cell_1796
2195,tar_cell_1797,tar_cell_1797
2196,tar_cell_1797,tar_cell_1473
2197,tar_cell_1798,tar_cell_1798
2198,tar_cell_1799,tar_cell_1799
2199,tar_cell_1799,tar_cell_1763
2200,tar_cell_1800,tar_cell_1800
2201,tar_cell_1801,tar_cell_1801
2202,tar_cell_1801,tar_cell_1845
2203,tar_cell_1802,tar_cell_1802
2204,tar_cell_1803,tar_cell_1803
2205,tar_cell_1803,tar_cell_1813
2206,tar_cell_1804,tar_cell_1804
2207,tar_cell_1804,tar_cell_1130
2208,tar_cell_1805,tar_cell_1805
2209,tar_cell_1806,tar_cell_1806
2210,tar_cell_1806,tar_cell_1412
2211,tar_cell_1807,tar_cell_1807
2212,tar_cell_1808,tar_cell_1808
2213,tar_cell_1809,tar_cell_1809
2214,tar_cell_1810,tar_cell_1810
2215,tar_cell_1811,tar_cell_1811
2216,tar_cell_1811,tar_cell_1381
2217,tar_cell_1812,tar_cell_1812
2218,tar_cell_1813,tar_cell_1813
2219,tar_cell_1813,tar_cell_1803
2220,tar_cell_1814,tar_cell_1814
2221,tar_cell_1815,tar_cell_1815
2222,tar_cell_1816,tar_cell_1816
2223,tar_cell_1817,tar_cell_1817
2224,tar_cell_1818,tar_cell_1818
2225,tar_cell_1819,tar_cell_1819
2226,tar_cell_1820,tar_cell_1820
2227,tar_cell_1821,tar_cell_1821
2228,tar_cell_1822,tar_cell_1822
2229,tar_cell_1822,tar_cell_1852
2230,tar_cell_1823,tar_cell_1823
2231,tar_cell_1824,tar_cell_1824
2232,tar_cell_1824,tar_cell_1015
2233,tar_cell_1825,tar_cell_1825
2234,tar_cell_1825,tar_cell_1180
2235,tar_cell_1826,tar_cell_1826
2236,tar_cell_1827,tar_cell_1827
2237,tar_cell_1828,tar_cell_1828
2238,tar_cell_1829,tar_cell_1829
2239,tar_cell_1830,tar_cell_1830
2240,tar_cell_1831,tar_cell_1831
2241,tar_cell_1832,tar_cell_1832
2242,tar_cell_1833,tar_cell_1833
2243,tar_cell_1833,tar_cell_1230
2244,tar_cell_1834,tar_cell_1834
2245,tar_cell_1834,tar_cell_1904
2246,tar_cell_1835,tar_cell_1835
2247,tar_cell_1836,tar_cell_1836
2248,tar_cell_1837,tar_cell_1837
2249,tar_cell_1838,tar_cell_1838
2250,tar_cell_1838,tar_cell_1630
2251,tar_cell_1839,tar_cell_1839
2252,tar_cell_1840,tar_cell_1840
2253,tar_cell_1841,tar_cell_1841
2254,tar_cell_1842,tar_cell_1842
2255,tar_cell_1843,tar_cell_1843
2256,tar_cell_1844,tar_cell_1844
2257,tar_cell_1845,tar_cell_1845
2258,tar_cell_1845,tar_cell_1801
2259,tar_cell_1846,tar_cell_1846
2260,tar_cell_1846,tar_cell_1163
2261,tar_cell_1847,tar_cell_1847
2262,tar_cell_1848,tar_cell_1848
2263,tar_cell_1848,tar_cell_1091
2264,tar_cell_1849,tar_cell_1849
2265,tar_cell_1849,tar_cell_1646
2266,tar_cell_1850,tar_cell_1850
2267,tar_cell_1851,tar_cell_1851
2268,tar_cell_1851,tar_cell_1947
2269,tar_cell_1852,tar_cell_1852
2270,tar_cell_1853,tar_cell_1853
2271,tar_cell_1854,tar_cell_1854
2272,tar_cell_1855,tar_cell_1855
2273,tar_cell_1856,tar_cell_1856
2274,tar_cell_1856,tar_cell_1626
2275,tar_cell_1857,tar_cell_1857
2276,tar_cell_1858,tar_cell_1858
2277,tar_cell_1858,tar_cell_1934
2278,tar_cell_1859,tar_cell_1859
2279,tar_cell_1860,tar_cell_1860
2280,tar_cell_1861,tar_cell_1861
2281,tar_cell_1862,tar_cell_1862
2282,tar_cell_1863,tar_cell_1863
2283,tar_cell_1864,tar_cell_1864
2284,tar_cell_1865,tar_cell_1865
2285,tar_cell_1866,tar_cell_1866
2286,tar_cell_1866,tar_cell_1386
2287,tar_cell_1867,tar_cell_1867
2288,tar_cell_1868,tar_cell_1868
2289,tar_cell_1869,tar_cell_1869
2290,tar_cell_1870,tar_cell_1870
2291,tar_cell_1871,tar_cell_1871
2292,tar_cell_1872,tar_cell_1872
2293,tar_cell_1873,tar_cell_1873
2294,tar_cell_1874,tar_cell_1874
2295,tar_cell_1874,tar_cell_1269
2296,tar_cell_1875,tar_cell_1875
2297,tar_cell_1876,tar_cell_1876
2298,tar_cell_1877,tar_cell_1877
2299,tar_cell_1877,tar_cell_1488
2300,tar_cell_1878,tar_cell_1878
2301,tar_cell_1879,tar_cell_1879
2302,tar_cell_1880,tar_cell_1880
2303,tar_cell_1881,tar_cell_1881
2304,tar_cell_1882,tar_cell_1882
2305,tar_cell_1883,tar_cell_1883
2306,tar_cell_1884,tar_cell_1884
2307,tar_cell_1885,tar_cell_1885
2308,tar_cell_1885,tar_cell_1158
2309,tar_cell_1886,tar_cell_1886
2310,tar_cell_1886,tar_cell_1535
2311,tar_cell_1887,tar_cell_1887
2312,tar_cell_1888,tar_cell_1888
2313,tar_cell_1888,tar_cell_1114
2314,tar_cell_1889,tar_cell_1889
2315,tar_cell_1890,tar_cell_1890
2316,tar_cell_1891,tar_cell_1891
2317,tar_cell_1891,tar_cell_1590
2318,tar_cell_1892,tar_cell_1892
2319,tar_cell_1893,tar_cell_1893
2320,tar_cell_1894,tar_cell_1894
2321,tar_cell_1895,tar_cell_1895
2322,tar_cell_1896,tar_cell_1896
2323,tar_cell_1897,tar_cell_1897
2324,tar_cell_1898,tar_cell_1898
2325,tar_cell_1899,tar_cell_1899
2326,tar_cell_1899,tar_cell_1633
2327,tar_cell_1900,tar_cell_1900
2328,tar_cell_1900,tar_cell_1503
2329,tar_cell_1901,tar_cell_1901
2330,tar_cell_1902,tar_cell_1902
2331,tar_cell_1903,tar_cell_1903
2332,tar_cell_1903,tar_cell_1258
2333,tar_cell_1904,tar_cell_1904
2334,tar_cell_1905,tar_cell_1905
2335,tar_cell_1905,tar_cell_1391
2336,tar_cell_1906,tar_cell_1906
2337,tar_cell_1907,tar_cell_1907
2338,tar_cell_1908,tar_cell_1908
2339,tar_cell_1909,tar_cell_1909
2340,tar_cell_1909,tar_cell_1632
2341,tar_cell_1910,tar_cell_1910
2342,tar_cell_1910,tar_cell_1306
2343,tar_cell_1911,tar_cell_1911
2344,tar_cell_1912,tar_cell_1912
2345,tar_cell_1912,tar_cell_1572
2346,tar_cell_1913,tar_cell_1913
2347,tar_cell_1913,tar_cell_1109
2348,tar_cell_1914,tar_cell_1914
2349,tar_cell_1915,tar_cell_1915
2350,tar_cell_1916,tar_cell_1916
2351,tar_cell_1917,tar_cell_1917
2352,tar_cell_1918,tar_cell_1918
2353,tar_cell_1919,tar_cell_1919
2354,tar_cell_1920,tar_cell_1920
2355,tar_cell_1921,tar_cell_1921
2356,tar_cell_1922,tar_cell_1922
2357,tar_cell_1923,tar_cell_1923
2358,tar_cell_1923,tar_cell_1202
2359,tar_cell_1924,tar_cell_1924
2360,tar_cell_1925,tar_cell_1925
2361,tar_cell_1925,tar_cell_1972
2362,tar_cell_1926,tar_cell_1926
2363,tar_cell_1927,tar_cell_1927
2364,tar_cell_1928,tar_cell_1928
2365,tar_cell_1929,tar_cell_1929
2366,tar_cell_1929,tar_cell_1853
2367,tar_cell_1930,tar_cell_1930
2368,tar_cell_1931,tar_cell_1931
2369,tar_cell_1932,tar_cell_1932
2370,tar_cell_1933,tar_cell_1933
2371,tar_cell_1934,tar_cell_1934
2372,tar_cell_1935,tar_cell_1935
2373,tar_cell_1936,tar_cell_1936
2374,tar_cell_1937,tar_cell_1937
2375,tar_cell_1938,tar_cell_1938
2376,tar_cell_1938,tar_cell_1414
2377,tar_cell_1939,tar_cell_1939
2378,tar_cell_1940,tar_cell_1940
2379,tar_cell_1941,tar_cell_1941
2380,tar_cell_1942,tar_cell_1942
2381,tar_cell_1942,tar_cell_1005
2382,tar_cell_1943,tar_cell_1943
2383,tar_cell_1944,tar_cell_1944
2384,tar_cell_1945,tar_cell_1945
2385,tar_cell_1946,tar_cell_1946
2386,tar_cell_1947,tar_cell_1947
2387,tar_cell_1947,tar_cell_1851
2388,tar_cell_1948,tar_cell_1948
2389,tar_cell_1948,tar_cell_1512
2390,tar_cell_1949,tar_cell_1949
2391,tar_cell_1949,tar_cell_1224
2392,tar_cell_1950,tar_cell_1950
2393,tar_cell_1951,tar_cell_1951
2394,tar_cell_1952,tar_cell_1952
2395,tar_cell_1953,tar_cell_1953
2396,tar_cell_1954,tar_cell_1954
2397,tar_cell_1954,tar_cell_1580
2398,tar_cell_1955,tar_cell_1955
2399,tar_cell_1956,tar_cell_1956
2400,tar_cell_1957,tar_cell_1957
2401,tar_cell_1958,tar_cell_1958
2402,tar_cell_1959,tar_cell_1959
2403,tar_cell_1960,tar_cell_1960
2404,tar_cell_1961,tar_cell_1961
2405,tar_cell_1961,tar_cell_1492
2406,tar_cell_1962,tar_cell_1962
2407,tar_cell_1963,tar_cell_1963
2408,tar_cell_1964,tar_cell_1964
2409,tar_cell_1965,tar_cell_1965
2410,tar_cell_1966,tar_cell_1966
2411,tar_cell_1967,tar_cell_1967
2412,tar_cell_1968,tar_cell_1968
2413,tar_cell_1969,tar_cell_1969
2414,tar_cell_1969,tar_cell_1990
2415,tar_cell_1970,tar_cell_1970
2416,tar_cell_1971,tar_cell_1971
2417,tar_cell_1971,tar_cell_1771
2418,tar_cell_1972,tar_cell_1972
2419,tar_cell_1972,tar_cell_1925
2420,tar_cell_1973,tar_cell_1973
2421,tar_cell_1974,tar_cell_1974
2422,tar_cell_1974,tar_cell_1957
2423,tar_cell_1975,tar_cell_1975
2424,tar_cell_1976,tar_cell_1976
2425,tar_cell_1977,tar_cell_1977
2426,tar_cell_1978,tar_cell_1978
2427,tar_cell_1979,tar_cell_1979
2428,tar_cell_1979,tar_cell_1338
2429,tar_cell_1980,tar_cell_1980
2430,tar_cell_1980,tar_cell_1350
2431,tar_cell_1981,tar_cell_1981
2432,tar_cell_1982,tar_cell_1982
2433,tar_cell_1983,tar_cell_1983
2434,tar_cell_1984,tar_cell_1984
2435,tar_cell_1984,tar_cell_1007
2436,tar_cell_1985,tar_cell_1985
2437,tar_cell_1986,tar_cell_1986
2438,tar_cell_1987,tar_cell_1987
2439,tar_cell_1987,tar_cell_1384
2440,tar_cell_1988,tar_cell_1988
2441,tar_cell_1989,tar_cell_1989
2442,tar_cell_1989,tar_cell_1178
2443,tar_cell_1990,tar_cell_1990
2444,tar_cell_1990,tar_cell_1969
2445,tar_cell_1991,tar_cell_1991
2446,tar_cell_1991,tar_cell_1726
2447,tar_cell_1992,tar_cell_1992
2448,tar_cell_1993,tar_cell_1993
2449,tar_cell_1994,tar_cell_1994
2450,tar_cell_1995,tar_cell_1995
2451,tar_cell_1996,tar_cell_1996
2452,tar_cell_1997,tar_cell_1997
2453,tar_cell_1997,tar_cell_1267
2454,tar_cell_1998,tar_cell_1998
2455,tar_cell_1999,tar_cell_1999
2456,tar_cell_2000,tar_cell_2000
